,material_id,symbols,spin_polarized,bandgap,fermi_energy,is_metal,space_group_number
79,3_scan/mp-1300126,"['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'Mg', 'Pd']",True,"{'direct': False, 'energy': 2.0661, 'transition': '(0.266,0.266,0.500)-(0.246,0.246,0.500)'}",0.27741674,False,12
80,3_scan/mp-23120,"['Cs', 'Cs', 'Na', 'Y', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': True, 'energy': 5.6484000000000005, 'transition': '(0.000,0.000,0.000)-(0.000,0.000,0.000)'}",-0.94704243,False,225
81,3_scan/mp-1300043,"['Cs', 'Cs', 'Cs', 'Cs', 'Rb', 'Rb', 'In', 'In', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': False, 'energy': 4.3847000000000005, 'transition': '(-0.500,0.500,0.500)-(0.000,0.000,0.000)'}",-1.22736612,False,14
82,3_scan/mp-1300116,"['Cs', 'Cs', 'Cs', 'Cs', 'Tl', 'Tl', 'As', 'As', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",False,"{'direct': True, 'energy': 1.8306, 'transition': '(0.000,0.000,0.000)-(0.000,0.000,0.000)'}",1.56410034,False,1
83,3_scan/mp-1300241,"['Cs', 'Cs', 'Cs', 'Cs', 'Tl', 'Tl', 'In', 'In', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",False,"{'direct': False, 'energy': 3.1431999999999998, 'transition': '(0.000,0.000,0.000)-(0.000,0.500,0.500)'}",0.14992882,False,1
84,3_scan/mp-1113363,"['Cs', 'Cs', 'Ce', 'Cu', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': False, 'energy': 3.3059, 'transition': '(0.500,0.000,0.000)-(0.000,0.000,0.000)'}",1.84122387,False,225
85,3_scan/mp-1300095,"['Cs', 'Cs', 'Cs', 'Cs', 'Rh', 'Rh', 'Au', 'Au', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': False, 'energy': 1.6216999999999997, 'transition': '(0.000,0.000,0.000)-(0.000,0.500,0.500)'}",1.02863416,False,15
86,3_scan/mp-1300133,"['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'K', 'Pd']",True,"{'direct': False, 'energy': 0.5403000000000001, 'transition': '(0.500,0.000,0.000)-(0.500,0.500,-0.256)'}",0.5474048,False,1
87,3_scan/mp-1300128,"['Cs', 'Cs', 'Cs', 'Cs', 'Rb', 'Rb', 'As', 'As', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': False, 'energy': 3.7843999999999998, 'transition': '(0.000,0.500,0.500)-(-0.500,0.000,0.000)'}",-0.41410576,False,14
88,3_scan/mp-23108,"['Cs', 'Cs', 'Na', 'U', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': True, 'energy': 1.7046000000000001, 'transition': '(0.500,0.500,0.500)-(0.500,0.500,0.500)'}",3.42458244,False,148
89,3_scan/mp-1112609,"['Cs', 'Cs', 'In', 'Cu', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': True, 'energy': 0.5684999999999998, 'transition': '(0.000,0.000,0.000)-(0.000,0.000,0.000)'}",2.08200797,False,225
